title,youtube_id,keyword,standard_domain,standard_cluster,grade,Jurisdiction Hierarchy 2
Addition 2,t2L3JFOqTEk,CC.1.NBT.2,Number and Operations in Base Ten,Understand place value.,1,Arithmetic
Adding Whole Numbers and Applications 1,b22tMEc6Kko,CC.1.NBT.2.a,Number and Operations in Base Ten,Understand place value.,1,Developmental Math
Addition 2,t2L3JFOqTEk,CC.1.NBT.2.b,Number and Operations in Base Ten,Understand place value.,1,Arithmetic
Adding Whole Numbers and Applications 1,b22tMEc6Kko,CC.1.NBT.2.b,Number and Operations in Base Ten,Understand place value.,1,Developmental Math
Addition 2,t2L3JFOqTEk,CC.1.NBT.2.c,Number and Operations in Base Ten,Understand place value.,1,Arithmetic
Addition 2,t2L3JFOqTEk,CC.1.NBT.3,Number and Operations in Base Ten,Understand place value.,1,Arithmetic
Adding Whole Numbers and Applications 1,b22tMEc6Kko,CC.1.NBT.3,Number and Operations in Base Ten,Understand place value.,1,Developmental Math
,#N/A,CC.1.NBT.4,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,1,
Addition 2,t2L3JFOqTEk,CC.1.NBT.5,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,1,Arithmetic
,#N/A,CC.1.NBT.6,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,1,
Basic Addition,AuX7nPBqDts,CC.1.OA.1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,1,Arithmetic
Basic Subtraction,aNqG4ChKShI,CC.1.OA.5,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,1,Arithmetic
Basic Addition,AuX7nPBqDts,CC.1.OA.2,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,1,Arithmetic
Basic Addition,AuX7nPBqDts,CC.1.OA.3,Operations and Algebraic Thinking,Understand and apply properties of operations and the relationship between addition and subtraction.,1,Arithmetic
Associative Law of Addition,oTKVXJ7TcbA,CC.1.OA.3,Operations and Algebraic Thinking,Understand and apply properties of operations and the relationship between addition and subtraction.,1,Developmental Math
Commutative Law of Addition,HwSszh3L358,CC.1.OA.3,Operations and Algebraic Thinking,Understand and apply properties of operations and the relationship between addition and subtraction.,1,Developmental Math
Commutative Property for Addition,UeG_EYd-0xw,CC.1.OA.3,Operations and Algebraic Thinking,Understand and apply properties of operations and the relationship between addition and subtraction.,1,Developmental Math
Basic Subtraction,aNqG4ChKShI,CC.1.OA.4,Operations and Algebraic Thinking,Understand and apply properties of operations and the relationship between addition and subtraction.,1,Arithmetic
Basic Subtraction,aNqG4ChKShI,CC.1.OA.5,Operations and Algebraic Thinking,Add and subtract within 20.,1,Arithmetic
Addition 2,t2L3JFOqTEk,CC.1.OA.6,Operations and Algebraic Thinking,Add and subtract within 20.,1,Arithmetic
Level 2 Addition,27Kp7HJYj2c,CC.1.OA.6,Operations and Algebraic Thinking,Add and subtract within 20.,1,Arithmetic
Subtraction 2,incKJchBCLo,CC.1.OA.6,Operations and Algebraic Thinking,Add and subtract within 20.,1,Arithmetic
Alternate mental subtraction method,GBtcGO44e-A,CC.1.OA.6,Operations and Algebraic Thinking,Add and subtract within 20.,1,Arithmetic
Basic Addition,AuX7nPBqDts,CC.1.OA.6,Operations and Algebraic Thinking,Add and subtract within 20.,1,Arithmetic
Subtraction 3: Introduction to Borrowing or Regrouping,ZaqOUE3H1mE,CC.1.OA.6,Operations and Algebraic Thinking,Add and subtract within 20.,1,Arithmetic
Basic Subraction,y9MGpOGQVqQ,CC.1.OA.6,Operations and Algebraic Thinking,Add and subtract within 20.,1,Arithmetic
,#N/A,CC.1.OA.7,Operations and Algebraic Thinking,Work with addition and subtraction equations.,1,
,#N/A,CC.1.OA.8,Operations and Algebraic Thinking,Work with addition and subtraction equations.,1,
,#N/A,CC.2.G.1,Geometry,Reason with shapes and their attributes.,2,
,#N/A,CC.2.G.2,Geometry,Reason with shapes and their attributes.,2,
,#N/A,CC.2.G.3,Geometry,Reason with shapes and their attributes.,2,
,#N/A,CC.2.MD.1,Measurement and Data,Measure and estimate lengths in standard units.,2,
,#N/A,CC.2.MD.10,Measurement and Data,Represent and interpret data.,2,
,#N/A,CC.2.MD.2,Measurement and Data,Measure and estimate lengths in standard units.,2,
,#N/A,CC.2.MD.3,Measurement and Data,Measure and estimate lengths in standard units.,2,
,#N/A,CC.2.MD.4,Measurement and Data,Measure and estimate lengths in standard units.,2,
,#N/A,CC.2.MD.5,Measurement and Data,Relate addition and subtraction to length.,2,
Locate integers on a number line,TlZVPfvTLXA,CC.2.MD.6,Measurement and Data,Relate addition and subtraction to length.,2,Developmental Math
Points on a number line,uC09taczvOo,CC.2.MD.6,Measurement and Data,Relate addition and subtraction to length.,2,Developmental Math
,#N/A,CC.2.MD.7,Measurement and Data,Work with time and money.,2,
,#N/A,CC.2.MD.8,Measurement and Data,Work with time and money.,2,
,#N/A,CC.2.MD.9,Measurement and Data,Represent and interpret data.,2,
Adding Whole Numbers and Applications 2,8TD6iDzt4oQ,CC.2.NBT.1,Number and Operations in Base Ten,Understand place value.,2,Developmental Math
,#N/A,CC.2.NBT.1.a,Number and Operations in Base Ten,Understand place value.,2,
,#N/A,CC.2.NBT.1.b,Number and Operations in Base Ten,Understand place value.,2,
,#N/A,CC.2.NBT.2,Number and Operations in Base Ten,Understand place value.,2,
,#N/A,CC.2.NBT.3,Number and Operations in Base Ten,Understand place value.,2,
,#N/A,CC.2.NBT.4,Number and Operations in Base Ten,Understand place value.,2,
Subtraction 3: Introduction to Borrowing or Regrouping,ZaqOUE3H1mE,CC.2.NBT.5,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,2,Arithmetic
Place Value 1,jxA8MffVmPs,CC.2.NBT.6,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,2,Developmental Math
,#N/A,CC.2.NBT.7,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,2,
,#N/A,CC.2.NBT.8,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,2,
Why borrowing works,fWan_T0enj4,CC.2.NBT.9,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,2,Arithmetic
Subtraction 2,incKJchBCLo,CC.2.OA.1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,2,Arithmetic
Addition 4,fOXo4p4WDKM,CC.2.OA.1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,2,Arithmetic
Addition 3,e_SpXIw_Qts,CC.2.OA.1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,2,Arithmetic
Subtraction 2,incKJchBCLo,CC.2.OA.1,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,2,Developmental Math
Alternate mental subtraction method,GBtcGO44e-A,CC.2.OA.2,Operations and Algebraic Thinking,Add and subtract within 20.,2,Arithmetic
,#N/A,CC.2.OA.3,Operations and Algebraic Thinking,Work with equal groups of objects to gain foundations for multiplication.,2,
,#N/A,CC.2.OA.4,Operations and Algebraic Thinking,Work with equal groups of objects to gain foundations for multiplication.,2,
Rhombus Diagonals,_QTFeOvPcbY,CC.3.G.1,Geometry,Reason with shapes and their attributes.,3,Geometry
Identifying Fraction Parts,#NAME?,CC.3.G.2,Geometry,Reason with shapes and their attributes.,3,Developmental Math
Multiplying Monomials,ssY1dFl7d30,CC.3.G.2,Geometry,Reason with shapes and their attributes.,3,Developmental Math
Numerator and Denominator of a Fraction,3XOt1fjWKi8,CC.3.G.2,Geometry,Reason with shapes and their attributes.,3,Developmental Math
Proper and Improper Fractions,2h8XiqSnzaU,CC.3.G.2,Geometry,Reason with shapes and their attributes.,3,Developmental Math
Rhombus Diagonals,_QTFeOvPcbY,CC.3.G.2,Geometry,Reason with shapes and their attributes.,3,Geometry
Time Differences 1,SnkUkc23YC0,CC.3.MD.1,Measurement and Data,"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",3,Arithmetic
Performing arithmetic calculations on units of volume,hShqXKpI6KA,CC.3.MD.2,Measurement and Data,"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",3,Developmental Math
Solving application problems involving units of volume,KgoXx_58QyQ,CC.3.MD.2,Measurement and Data,"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",3,Developmental Math
U.S. Customary and Metric Units,y2RHWA7t0WM,CC.3.MD.2,Measurement and Data,"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",3,Developmental Math
,#N/A,CC.3.MD.3,Measurement and Data,Represent and interpret data.,3,
,#N/A,CC.3.MD.4,Measurement and Data,Represent and interpret data.,3,
Multiplying Whole Numbers and Applications 5,_AP6rM49rOc,CC.3.MD.5,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3,Developmental Math
Rearrange formulas to isolate specific variables,eTSVTTg_QZ4,CC.3.MD.5,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3,Developmental Math
,#N/A,CC.3.MD.5.a,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3,
Multiplying Whole Numbers and Applications 5,_AP6rM49rOc,CC.3.MD.5.b,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3,Developmental Math
,#N/A,CC.3.MD.6,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3,
Multiplying Whole Numbers and Applications 5,_AP6rM49rOc,CC.3.MD.7,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3,Developmental Math
Multiplying Monomials,ssY1dFl7d30,CC.3.MD.7,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3,Developmental Math
Rearrange formulas to isolate specific variables,eTSVTTg_QZ4,CC.3.MD.7,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3,Developmental Math
,#N/A,CC.3.MD.7a,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3,
Multiplying Whole Numbers and Applications 5,_AP6rM49rOc,CC.3.MD.7b,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3,Developmental Math
,#N/A,CC.3.MD.7c,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3,
,#N/A,CC.3.MD.7d,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,3,
Application problems with equation in one variable,iimpwYBiKNg,CC.3.MD.8,Measurement and Data,Geometric measurement: recognize perimeter as an attribute of plane figures and distinguish between linear and area measures.,3,Developmental Math
Converting within the metric system,uHaKyNplino,CC.3.MD.8,Measurement and Data,Geometric measurement: recognize perimeter as an attribute of plane figures and distinguish between linear and area measures.,3,Developmental Math
Adding Whole Numbers and Applications 3,YB2ATNCMciY,CC.3.MD.8,Measurement and Data,Geometric measurement: recognize perimeter as an attribute of plane figures and distinguish between linear and area measures.,3,Developmental Math
Adding Whole Numbers and Applications 4,#NAME?,CC.3.MD.8,Measurement and Data,Geometric measurement: recognize perimeter as an attribute of plane figures and distinguish between linear and area measures.,3,Developmental Math
Multiplying Whole Numbers and Applications 4,tx2Niw7aJJ8,CC.3.NBT.1,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,3,Developmental Math
Rounding to Estimate Sums 2,j21X53Rwqt4,CC.3.NBT.1,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,3,Developmental Math
Rounding to Estimate Sums,lNfZQNWZklI,CC.3.NBT.1,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,3,Developmental Math
Rounding Whole Numbers 1,_qzs1zozTBo,CC.3.NBT.1,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,3,Developmental Math
Addition 4,fOXo4p4WDKM,CC.3.NBT.2,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,3,Arithmetic
Level 4 Subtraction,omUfrXtHtN0,CC.3.NBT.2,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,3,Arithmetic
"Multiplication 3: 10,11,12 times tables",qihoczo1Ujk,CC.3.NBT.3,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.,3,Arithmetic
Identifying Fraction Parts,#NAME?,CC.3.NF.1,Number and Operations--Fractions,Develop understanding of fractions as numbers.,3,Developmental Math
Numerator and Denominator of a Fraction,3XOt1fjWKi8,CC.3.NF.1,Number and Operations--Fractions,Develop understanding of fractions as numbers.,3,Developmental Math
Points on a number line,uC09taczvOo,CC.3.NF.2,Number and Operations--Fractions,Develop understanding of fractions as numbers.,3,Developmental Math
,#N/A,CC.3.NF.2.a,Number and Operations--Fractions,Develop understanding of fractions as numbers.,3,
,#N/A,CC.3.NF.2.b,Number and Operations--Fractions,Develop understanding of fractions as numbers.,3,
Equivalent Fractions,U2ovEuEUxXQ,CC.3.NF.3,Number and Operations--Fractions,Develop understanding of fractions as numbers.,3,Arithmetic
Comparing Fractions,Io9i1JkKgN4,CC.3.NF.3,Number and Operations--Fractions,Develop understanding of fractions as numbers.,3,Developmental Math
Comparing Fractions 2,2dbasvm3iG0,CC.3.NF.3,Number and Operations--Fractions,Develop understanding of fractions as numbers.,3,Developmental Math
Equivalent Fractions,U2ovEuEUxXQ,CC.3.NF.3,Number and Operations--Fractions,Develop understanding of fractions as numbers.,3,Developmental Math
